,paper_a,paper_b,correlation
48,EMAS2019_paper_18,EMAS2019_paper_30,57.99999999999999
49,EMAS2019_paper_18,EMAS2019_paper_31,49.0
50,EMAS2019_paper_18,EMAS2019_paper_32,60.0
51,EMAS2019_paper_18,EMAS2019_paper_33,60.0
52,EMAS2019_paper_18,EMAS2019_paper_34,73.0
53,EMAS2019_paper_18,EMAS2019_paper_35,60.0
54,EMAS2019_paper_21,EMAS2019_paper_5,65.0
55,EMAS2019_paper_21,EMAS2019_paper_8,80.0
56,EMAS2019_paper_21,EMAS2019_paper_18,65.0
57,EMAS2019_paper_21,EMAS2019_paper_21,100.0
58,EMAS2019_paper_21,EMAS2019_paper_22,70.0
59,EMAS2019_paper_21,EMAS2019_paper_23,65.0
60,EMAS2019_paper_21,EMAS2019_paper_24,68.0
61,EMAS2019_paper_21,EMAS2019_paper_25,68.0
62,EMAS2019_paper_21,EMAS2019_paper_26,63.0
63,EMAS2019_paper_21,EMAS2019_paper_27,68.0
64,EMAS2019_paper_21,EMAS2019_paper_28,65.0
65,EMAS2019_paper_21,EMAS2019_paper_29,55.00000000000001
66,EMAS2019_paper_21,EMAS2019_paper_30,57.99999999999999
67,EMAS2019_paper_21,EMAS2019_paper_31,56.99999999999999
68,EMAS2019_paper_21,EMAS2019_paper_32,56.00000000000001
69,EMAS2019_paper_21,EMAS2019_paper_33,74.0
70,EMAS2019_paper_21,EMAS2019_paper_34,59.0
71,EMAS2019_paper_21,EMAS2019_paper_35,62.0
72,EMAS2019_paper_22,EMAS2019_paper_5,56.99999999999999
73,EMAS2019_paper_22,EMAS2019_paper_8,69.0
74,EMAS2019_paper_22,EMAS2019_paper_18,56.00000000000001
75,EMAS2019_paper_22,EMAS2019_paper_21,70.0
76,EMAS2019_paper_22,EMAS2019_paper_22,100.0
77,EMAS2019_paper_22,EMAS2019_paper_23,73.0
78,EMAS2019_paper_22,EMAS2019_paper_24,64.0
79,EMAS2019_paper_22,EMAS2019_paper_25,61.0
80,EMAS2019_paper_22,EMAS2019_paper_26,63.0
81,EMAS2019_paper_22,EMAS2019_paper_27,63.0
82,EMAS2019_paper_22,EMAS2019_paper_28,56.00000000000001
83,EMAS2019_paper_22,EMAS2019_paper_29,48.0
84,EMAS2019_paper_22,EMAS2019_paper_30,56.00000000000001
85,EMAS2019_paper_22,EMAS2019_paper_31,55.00000000000001
86,EMAS2019_paper_22,EMAS2019_paper_32,63.0
87,EMAS2019_paper_22,EMAS2019_paper_33,72.0
88,EMAS2019_paper_22,EMAS2019_paper_34,52.0
89,EMAS2019_paper_22,EMAS2019_paper_35,59.0
90,EMAS2019_paper_23,EMAS2019_paper_5,53.0
91,EMAS2019_paper_23,EMAS2019_paper_8,63.0
92,EMAS2019_paper_23,EMAS2019_paper_18,55.00000000000001
93,EMAS2019_paper_23,EMAS2019_paper_21,65.0
94,EMAS2019_paper_23,EMAS2019_paper_22,73.0
95,EMAS2019_paper_23,EMAS2019_paper_23,100.0
96,EMAS2019_paper_23,EMAS2019_paper_24,68.0
97,EMAS2019_paper_23,EMAS2019_paper_25,61.0
98,EMAS2019_paper_23,EMAS2019_paper_26,60.0
99,EMAS2019_paper_23,EMAS2019_paper_27,62.0
100,EMAS2019_paper_23,EMAS2019_paper_28,56.99999999999999
101,EMAS2019_paper_23,EMAS2019_paper_29,54.0
102,EMAS2019_paper_23,EMAS2019_paper_30,55.00000000000001
103,EMAS2019_paper_23,EMAS2019_paper_31,48.0
104,EMAS2019_paper_23,EMAS2019_paper_32,52.0
105,EMAS2019_paper_23,EMAS2019_paper_33,65.0
106,EMAS2019_paper_23,EMAS2019_paper_34,59.0
107,EMAS2019_paper_23,EMAS2019_paper_35,53.0
108,EMAS2019_paper_24,EMAS2019_paper_5,66.0
109,EMAS2019_paper_24,EMAS2019_paper_8,71.0
110,EMAS2019_paper_24,EMAS2019_paper_18,69.0
111,EMAS2019_paper_24,EMAS2019_paper_21,68.0
112,EMAS2019_paper_24,EMAS2019_paper_22,64.0
113,EMAS2019_paper_24,EMAS2019_paper_23,68.0
114,EMAS2019_paper_24,EMAS2019_paper_24,100.0
115,EMAS2019_paper_24,EMAS2019_paper_25,72.0
116,EMAS2019_paper_24,EMAS2019_paper_26,71.0
117,EMAS2019_paper_24,EMAS2019_paper_27,77.0
118,EMAS2019_paper_24,EMAS2019_paper_28,69.0
119,EMAS2019_paper_24,EMAS2019_paper_29,63.0
120,EMAS2019_paper_24,EMAS2019_paper_30,60.0
121,EMAS2019_paper_24,EMAS2019_paper_31,52.0
122,EMAS2019_paper_24,EMAS2019_paper_32,61.0
123,EMAS2019_paper_24,EMAS2019_paper_33,75.0
124,EMAS2019_paper_24,EMAS2019_paper_34,64.0
125,EMAS2019_paper_24,EMAS2019_paper_35,60.0
126,EMAS2019_paper_25,EMAS2019_paper_5,60.0
127,EMAS2019_paper_25,EMAS2019_paper_8,66.0
128,EMAS2019_paper_25,EMAS2019_paper_18,61.0
129,EMAS2019_paper_25,EMAS2019_paper_21,68.0
130,EMAS2019_paper_25,EMAS2019_paper_22,61.0
131,EMAS2019_paper_25,EMAS2019_paper_23,61.0
132,EMAS2019_paper_25,EMAS2019_paper_24,72.0
133,EMAS2019_paper_25,EMAS2019_paper_25,100.0
134,EMAS2019_paper_25,EMAS2019_paper_26,70.0
135,EMAS2019_paper_25,EMAS2019_paper_27,70.0
136,EMAS2019_paper_25,EMAS2019_paper_28,60.0
137,EMAS2019_paper_25,EMAS2019_paper_29,53.0
138,EMAS2019_paper_25,EMAS2019_paper_30,70.0
139,EMAS2019_paper_25,EMAS2019_paper_31,67.0
140,EMAS2019_paper_25,EMAS2019_paper_32,63.0
141,EMAS2019_paper_25,EMAS2019_paper_33,74.0
142,EMAS2019_paper_25,EMAS2019_paper_34,62.0
143,EMAS2019_paper_25,EMAS2019_paper_35,50.0
144,EMAS2019_paper_26,EMAS2019_paper_5,68.0
145,EMAS2019_paper_26,EMAS2019_paper_8,69.0
146,EMAS2019_paper_26,EMAS2019_paper_18,65.0
147,EMAS2019_paper_26,EMAS2019_paper_21,63.0
148,EMAS2019_paper_26,EMAS2019_paper_22,63.0
149,EMAS2019_paper_26,EMAS2019_paper_23,60.0
150,EMAS2019_paper_26,EMAS2019_paper_24,71.0
151,EMAS2019_paper_26,EMAS2019_paper_25,70.0
152,EMAS2019_paper_26,EMAS2019_paper_26,100.0
153,EMAS2019_paper_26,EMAS2019_paper_27,74.0
154,EMAS2019_paper_26,EMAS2019_paper_28,68.0
155,EMAS2019_paper_26,EMAS2019_paper_29,62.0
156,EMAS2019_paper_26,EMAS2019_paper_30,64.0
157,EMAS2019_paper_26,EMAS2019_paper_31,56.99999999999999
158,EMAS2019_paper_26,EMAS2019_paper_32,65.0
159,EMAS2019_paper_26,EMAS2019_paper_33,73.0
160,EMAS2019_paper_26,EMAS2019_paper_34,68.0
161,EMAS2019_paper_26,EMAS2019_paper_35,55.00000000000001
162,EMAS2019_paper_27,EMAS2019_paper_5,57.99999999999999
163,EMAS2019_paper_27,EMAS2019_paper_8,69.0
164,EMAS2019_paper_27,EMAS2019_paper_18,77.0
165,EMAS2019_paper_27,EMAS2019_paper_21,68.0
166,EMAS2019_paper_27,EMAS2019_paper_22,63.0
167,EMAS2019_paper_27,EMAS2019_paper_23,62.0
168,EMAS2019_paper_27,EMAS2019_paper_24,77.0
169,EMAS2019_paper_27,EMAS2019_paper_25,70.0
170,EMAS2019_paper_27,EMAS2019_paper_26,74.0
171,EMAS2019_paper_27,EMAS2019_paper_27,100.0
172,EMAS2019_paper_27,EMAS2019_paper_28,74.0
173,EMAS2019_paper_27,EMAS2019_paper_29,70.0
174,EMAS2019_paper_27,EMAS2019_paper_30,60.0
175,EMAS2019_paper_27,EMAS2019_paper_31,53.0
176,EMAS2019_paper_27,EMAS2019_paper_32,61.0
177,EMAS2019_paper_27,EMAS2019_paper_33,72.0
178,EMAS2019_paper_27,EMAS2019_paper_34,73.0
179,EMAS2019_paper_27,EMAS2019_paper_35,55.00000000000001
180,EMAS2019_paper_28,EMAS2019_paper_5,54.0
181,EMAS2019_paper_28,EMAS2019_paper_8,69.0
182,EMAS2019_paper_28,EMAS2019_paper_18,76.0
183,EMAS2019_paper_28,EMAS2019_paper_21,65.0
184,EMAS2019_paper_28,EMAS2019_paper_22,56.00000000000001
185,EMAS2019_paper_28,EMAS2019_paper_23,56.99999999999999
186,EMAS2019_paper_28,EMAS2019_paper_24,69.0
187,EMAS2019_paper_28,EMAS2019_paper_25,60.0
188,EMAS2019_paper_28,EMAS2019_paper_26,68.0
189,EMAS2019_paper_28,EMAS2019_paper_27,74.0
190,EMAS2019_paper_28,EMAS2019_paper_28,100.0
191,EMAS2019_paper_28,EMAS2019_paper_29,79.0
192,EMAS2019_paper_28,EMAS2019_paper_30,57.99999999999999
193,EMAS2019_paper_28,EMAS2019_paper_31,47.0
194,EMAS2019_paper_28,EMAS2019_paper_32,53.0
195,EMAS2019_paper_28,EMAS2019_paper_33,60.0
196,EMAS2019_paper_28,EMAS2019_paper_34,70.0
197,EMAS2019_paper_28,EMAS2019_paper_35,56.00000000000001
198,EMAS2019_paper_29,EMAS2019_paper_5,44.0
199,EMAS2019_paper_29,EMAS2019_paper_8,60.0
200,EMAS2019_paper_29,EMAS2019_paper_18,78.0
201,EMAS2019_paper_29,EMAS2019_paper_21,55.00000000000001
202,EMAS2019_paper_29,EMAS2019_paper_22,48.0
203,EMAS2019_paper_29,EMAS2019_paper_23,54.0
204,EMAS2019_paper_29,EMAS2019_paper_24,63.0
205,EMAS2019_paper_29,EMAS2019_paper_25,53.0
206,EMAS2019_paper_29,EMAS2019_paper_26,62.0
207,EMAS2019_paper_29,EMAS2019_paper_27,70.0
208,EMAS2019_paper_29,EMAS2019_paper_28,79.0
209,EMAS2019_paper_29,EMAS2019_paper_29,100.0
210,EMAS2019_paper_29,EMAS2019_paper_30,49.0
211,EMAS2019_paper_29,EMAS2019_paper_31,39.0
212,EMAS2019_paper_29,EMAS2019_paper_32,50.0
213,EMAS2019_paper_29,EMAS2019_paper_33,50.0
214,EMAS2019_paper_29,EMAS2019_paper_34,69.0
215,EMAS2019_paper_29,EMAS2019_paper_35,49.0
216,EMAS2019_paper_30,EMAS2019_paper_5,57.99999999999999
217,EMAS2019_paper_30,EMAS2019_paper_8,56.99999999999999
218,EMAS2019_paper_30,EMAS2019_paper_18,57.99999999999999
219,EMAS2019_paper_30,EMAS2019_paper_21,57.99999999999999
220,EMAS2019_paper_30,EMAS2019_paper_22,56.00000000000001
221,EMAS2019_paper_30,EMAS2019_paper_23,55.00000000000001
222,EMAS2019_paper_30,EMAS2019_paper_24,60.0
223,EMAS2019_paper_30,EMAS2019_paper_25,70.0
224,EMAS2019_paper_30,EMAS2019_paper_26,64.0
225,EMAS2019_paper_30,EMAS2019_paper_27,60.0
226,EMAS2019_paper_30,EMAS2019_paper_28,57.99999999999999
227,EMAS2019_paper_30,EMAS2019_paper_29,49.0
228,EMAS2019_paper_30,EMAS2019_paper_30,100.0
229,EMAS2019_paper_30,EMAS2019_paper_31,81.0
230,EMAS2019_paper_30,EMAS2019_paper_32,64.0
231,EMAS2019_paper_30,EMAS2019_paper_33,66.0
232,EMAS2019_paper_30,EMAS2019_paper_34,54.0
233,EMAS2019_paper_30,EMAS2019_paper_35,52.0
234,EMAS2019_paper_31,EMAS2019_paper_5,55.00000000000001
235,EMAS2019_paper_31,EMAS2019_paper_8,54.0
236,EMAS2019_paper_31,EMAS2019_paper_18,49.0
237,EMAS2019_paper_31,EMAS2019_paper_21,56.99999999999999
238,EMAS2019_paper_31,EMAS2019_paper_22,55.00000000000001
239,EMAS2019_paper_31,EMAS2019_paper_23,48.0
240,EMAS2019_paper_31,EMAS2019_paper_24,52.0
241,EMAS2019_paper_31,EMAS2019_paper_25,67.0
242,EMAS2019_paper_31,EMAS2019_paper_26,56.99999999999999
243,EMAS2019_paper_31,EMAS2019_paper_27,53.0
244,EMAS2019_paper_31,EMAS2019_paper_28,47.0
245,EMAS2019_paper_31,EMAS2019_paper_29,39.0
246,EMAS2019_paper_31,EMAS2019_paper_30,81.0
247,EMAS2019_paper_31,EMAS2019_paper_31,100.0
248,EMAS2019_paper_31,EMAS2019_paper_32,65.0
249,EMAS2019_paper_31,EMAS2019_paper_33,62.0
250,EMAS2019_paper_31,EMAS2019_paper_34,45.0
251,EMAS2019_paper_31,EMAS2019_paper_35,42.0
252,EMAS2019_paper_32,EMAS2019_paper_5,57.99999999999999
253,EMAS2019_paper_32,EMAS2019_paper_8,60.0
254,EMAS2019_paper_32,EMAS2019_paper_18,60.0
255,EMAS2019_paper_32,EMAS2019_paper_21,56.00000000000001
256,EMAS2019_paper_32,EMAS2019_paper_22,63.0
257,EMAS2019_paper_32,EMAS2019_paper_23,52.0
258,EMAS2019_paper_32,EMAS2019_paper_24,61.0
259,EMAS2019_paper_32,EMAS2019_paper_25,63.0
260,EMAS2019_paper_32,EMAS2019_paper_26,65.0
261,EMAS2019_paper_32,EMAS2019_paper_27,61.0
262,EMAS2019_paper_32,EMAS2019_paper_28,53.0
263,EMAS2019_paper_32,EMAS2019_paper_29,50.0
264,EMAS2019_paper_32,EMAS2019_paper_30,64.0
265,EMAS2019_paper_32,EMAS2019_paper_31,65.0
266,EMAS2019_paper_32,EMAS2019_paper_32,100.0
267,EMAS2019_paper_32,EMAS2019_paper_33,62.0
268,EMAS2019_paper_32,EMAS2019_paper_34,53.0
269,EMAS2019_paper_32,EMAS2019_paper_35,52.0
270,EMAS2019_paper_33,EMAS2019_paper_5,64.0
271,EMAS2019_paper_33,EMAS2019_paper_8,68.0
272,EMAS2019_paper_33,EMAS2019_paper_18,60.0
273,EMAS2019_paper_33,EMAS2019_paper_21,74.0
274,EMAS2019_paper_33,EMAS2019_paper_22,72.0
275,EMAS2019_paper_33,EMAS2019_paper_23,65.0
276,EMAS2019_paper_33,EMAS2019_paper_24,75.0
277,EMAS2019_paper_33,EMAS2019_paper_25,74.0
278,EMAS2019_paper_33,EMAS2019_paper_26,73.0
279,EMAS2019_paper_33,EMAS2019_paper_27,72.0
280,EMAS2019_paper_33,EMAS2019_paper_28,60.0
281,EMAS2019_paper_33,EMAS2019_paper_29,50.0
282,EMAS2019_paper_33,EMAS2019_paper_30,66.0
283,EMAS2019_paper_33,EMAS2019_paper_31,62.0
284,EMAS2019_paper_33,EMAS2019_paper_32,62.0
285,EMAS2019_paper_33,EMAS2019_paper_33,100.0
286,EMAS2019_paper_33,EMAS2019_paper_34,56.99999999999999
287,EMAS2019_paper_33,EMAS2019_paper_35,63.0
288,EMAS2019_paper_34,EMAS2019_paper_5,48.0
289,EMAS2019_paper_34,EMAS2019_paper_8,63.0
290,EMAS2019_paper_34,EMAS2019_paper_18,73.0
291,EMAS2019_paper_34,EMAS2019_paper_21,59.0
292,EMAS2019_paper_34,EMAS2019_paper_22,52.0
293,EMAS2019_paper_34,EMAS2019_paper_23,59.0
294,EMAS2019_paper_34,EMAS2019_paper_24,64.0
295,EMAS2019_paper_34,EMAS2019_paper_25,62.0
296,EMAS2019_paper_34,EMAS2019_paper_26,68.0
297,EMAS2019_paper_34,EMAS2019_paper_27,73.0
298,EMAS2019_paper_34,EMAS2019_paper_28,70.0
299,EMAS2019_paper_34,EMAS2019_paper_29,69.0
300,EMAS2019_paper_34,EMAS2019_paper_30,54.0
301,EMAS2019_paper_34,EMAS2019_paper_31,45.0
302,EMAS2019_paper_34,EMAS2019_paper_32,53.0
303,EMAS2019_paper_34,EMAS2019_paper_33,56.99999999999999
304,EMAS2019_paper_34,EMAS2019_paper_34,100.0
305,EMAS2019_paper_34,EMAS2019_paper_35,52.0
306,EMAS2019_paper_35,EMAS2019_paper_5,57.99999999999999
307,EMAS2019_paper_35,EMAS2019_paper_8,59.0
308,EMAS2019_paper_35,EMAS2019_paper_18,60.0
309,EMAS2019_paper_35,EMAS2019_paper_21,62.0
310,EMAS2019_paper_35,EMAS2019_paper_22,59.0
311,EMAS2019_paper_35,EMAS2019_paper_23,53.0
312,EMAS2019_paper_35,EMAS2019_paper_24,60.0
313,EMAS2019_paper_35,EMAS2019_paper_25,50.0
314,EMAS2019_paper_35,EMAS2019_paper_26,55.00000000000001
315,EMAS2019_paper_35,EMAS2019_paper_27,55.00000000000001
316,EMAS2019_paper_35,EMAS2019_paper_28,56.00000000000001
317,EMAS2019_paper_35,EMAS2019_paper_29,49.0
318,EMAS2019_paper_35,EMAS2019_paper_30,52.0
319,EMAS2019_paper_35,EMAS2019_paper_31,42.0
320,EMAS2019_paper_35,EMAS2019_paper_32,52.0
321,EMAS2019_paper_35,EMAS2019_paper_33,63.0
322,EMAS2019_paper_35,EMAS2019_paper_34,52.0
323,EMAS2019_paper_35,EMAS2019_paper_35,100.0
